Timestamp,title,genres 
5/18/2022 12:10:33,The Office,"Dramatic, Reality, Comedy"
5/18/2022 12:10:46,The office,Comedy
5/18/2022 12:11:15,The office,Comedy
5/18/2022 12:11:39,The office,Dramatic
5/18/2022 12:12:00,the office,"Dramatic, Reality, Comedy"
5/18/2022 12:12:13,the office ,Educational
5/18/2022 12:12:25,The office ,Reality
5/18/2022 12:12:53, The Office,"Dramatic, Comedy"
5/18/2022 12:22:06,The Office,Dramatic
5/18/2022 12:22:17,the office  ,Prime-time
5/18/2022 12:22:27,the office ,Comedy
5/18/2022 13:05:31,Modern Family,Comedy
5/18/2022 13:05:42,The Office,Comedy
5/18/2022 13:05:46,F1 Drive to Survive,Documentary
5/18/2022 13:06:04,Parks & Rec,Comedy
5/18/2022 13:06:10,twin peaks,"Dramatic, horror"
5/18/2022 13:06:18,Spongebob,"Animated, Comedy"
5/18/2022 13:06:23,Hacks,Comedy
5/18/2022 13:06:44,narcos,"Dramatic, drugs"
5/18/2022 13:06:57,The Leader,"Animated, Educational"
5/18/2022 13:07:21,Parks & Rec,Comedy
5/18/2022 13:07:39,Chicago PD ,"Action, Dramatic"
5/18/2022 13:07:48,veggietales,"Educational, Late Night, Police Procedural, Reality, Religious, Science fiction"
5/18/2022 13:07:51,cocomelon,Children
5/18/2022 13:08:16,nathan 4 you,Comedy
5/18/2022 13:08:48,Inventing Anna ,Dramatic
5/18/2022 13:08:52,shameless,"Dramatic, Comedy"
5/18/2022 13:09:03,bachelor in paradise ,Reality
5/18/2022 13:09:06,Alton Brown,Cooking
5/18/2022 13:09:43,Barefoot contessa,Cooking
5/18/2022 13:10:57,paid programming,"Action, Adventure"